fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
00_Rassismus_Wikipedia.docx.txt	غير	غَيْرِ	noun	غير	غَيْر
00_Rassismus_Wikipedia.docx.txt	واعية	واعِيَةٍ	noun	واعي	واعِي
00_Rassismus_Wikipedia.docx.txt	لدى	لَدَى	noun	لدى	لَدَى
00_Rassismus_Wikipedia.docx.txt	الأشخاص	الأَشْخاصِ	noun	شخص	شَخْص
00_Rassismus_Wikipedia.docx.txt	الذين	الَّذِينَ	pron_rel	الذي	الَّذِي
00_Rassismus_Wikipedia.docx.txt	يعلنون	يعلنون	noun_prop	يعلنون	يعلنون
00_Rassismus_Wikipedia.docx.txt	التزامهم	اِلْتِزامُهُم	noun	ٱلتزام	ٱِلْتِزام
00_Rassismus_Wikipedia.docx.txt	بقيم	بِقَيِّمِ	noun	قيم	قَيِّم
00_Rassismus_Wikipedia.docx.txt	التسامح	التَسامُحِ	noun	تسامح	تَسامُح
00_Rassismus_Wikipedia.docx.txt	والمساواة	وَالمُساواةِ	noun	مساواة	مُساواة
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	وبحسب	وَبِحَسَبِ	noun	حسب	حَسَب
00_Rassismus_Wikipedia.docx.txt	إعلان	إِعْلانِ	noun	إعلان	إِعْلان
00_Rassismus_Wikipedia.docx.txt	الأمم	الأُمَمِ	noun	أمة	أُمَّة
00_Rassismus_Wikipedia.docx.txt	المتحده	المتحده	noun_prop	المتحده	المتحده
